country,survey_start_year,year,lat,lon,GID_1,GID_2,households,rural,iwi,uid,origin_lat,origin_lon
senegal,1992,1992,14.752982476192617,-17.403065459786664,SEN.1,SEN.1.3,11,0,46.66103481818182,senegal_1992_00029,14.75,-17.400000000000002
senegal,1992,1992,13.780317282363391,-13.660595327535837,SEN.12,SEN.12.4,10,0,34.1682773,senegal_1992_00030,13.7833,-13.666700000000002
senegal,1992,1992,16.270495358750164,-16.134703664051997,SEN.10,SEN.10.1,1,1,4.083731,senegal_1992_00031,16.2667,-16.1333
senegal,1992,1992,13.849999999999996,-16.0667,SEN.5,SEN.5.3,13,1,19.464132230769227,senegal_1992_00032,13.849999999999996,-16.0667
senegal,1992,1992,13.784113468446348,-13.66697748511201,SEN.12,SEN.12.4,8,0,47.065390625000006,senegal_1992_00033,13.7833,-13.666700000000002
senegal,1992,1992,14.1426790044569,-16.05836218523718,SEN.5,SEN.5.2,10,0,40.1714032,senegal_1992_00034,14.150000000000002,-16.0667
senegal,1992,1992,12.4333,-12.016699999999998,SEN.6,SEN.6.1,11,1,7.454741909090909,senegal_1992_00035,12.4333,-12.016699999999998
senegal,1992,1992,13.782757687702436,-13.65254825928762,SEN.12,SEN.12.4,9,0,32.620098000000006,senegal_1992_00036,13.7833,-13.666700000000002
senegal,1992,1992,16.50558528461338,-15.492691572498126,SEN.10,SEN.10.1,10,0,36.4090946,senegal_1992_00037,16.516700000000004,-15.5
senegal,1992,1992,13.699999999999994,-15.833300000000005,SEN.5,SEN.5.3,20,1,14.40199555,senegal_1992_00038,13.699999999999994,-15.833300000000005
senegal,1992,1992,15.2833,-12.95,SEN.9,SEN.9.1,5,1,19.2387006,senegal_1992_00039,15.2833,-12.95
senegal,1992,1992,16.0833,-13.85,SEN.10,SEN.10.2,3,1,2.722487333333333,senegal_1992_00040,16.0833,-13.85
senegal,1992,1992,15.656939963006794,-13.25460588896632,SEN.9,SEN.9.2,12,0,6.797908166666667,senegal_1992_00041,15.6667,-13.27
senegal,1992,1992,15.009999999999998,-12.569999999999997,SEN.12,SEN.12.1,13,1,19.05312369230769,senegal_1992_00042,15.009999999999998,-12.569999999999997
senegal,1992,1992,14.143763596389213,-16.07031305306389,SEN.5,SEN.5.2,13,0,24.863087000000004,senegal_1992_00043,14.150000000000004,-16.0667
senegal,1992,1992,14.1333,-15.75,SEN.4,SEN.4.1,6,1,18.752738666666662,senegal_1992_00044,14.1333,-15.75
senegal,1992,1992,15.4833,-13.1667,SEN.9,SEN.9.1,3,1,12.521942,senegal_1992_00045,15.4833,-13.1667
senegal,1992,1992,14.15054229596616,-16.06614414568248,SEN.5,SEN.5.2,12,0,26.914292,senegal_1992_00046,14.150000000000004,-16.0667
senegal,1992,1992,14.748373194804026,-17.393590402264255,SEN.1,SEN.1.3,13,0,40.02353438461538,senegal_1992_00047,14.75,-17.400000000000002
senegal,1992,1992,16.03601102981876,-16.494952766831762,SEN.10,SEN.10.3,11,0,45.347591,senegal_1992_00048,16.0333,-16.5
senegal,1992,1992,16.037637647710014,-16.503645223954837,SEN.10,SEN.10.3,6,0,29.840738,senegal_1992_00049,16.0333,-16.5
senegal,1992,1993,14.743763913415437,-17.41114712649695,SEN.1,SEN.1.3,13,0,29.04936069230769,senegal_1993_00000,14.75,-17.400000000000002
senegal,1992,1993,12.58113054814881,-16.27194641440546,SEN.14,SEN.14.3,3,0,54.70763266666666,senegal_1993_00001,12.5833,-16.2667
senegal,1992,1993,14.659921596395558,-16.248328569031074,SEN.2,SEN.2.2,13,0,36.2621133076923,senegal_1993_00002,14.6667,-16.25
senegal,1992,1993,14.676460901190392,-17.43720000559416,SEN.1,SEN.1.1,20,0,26.5399683,senegal_1993_00003,14.666699999999995,-17.433299999999996
senegal,1992,1993,14.898108984848795,-15.851863056207174,SEN.2,SEN.2.3,26,1,17.411377307692305,senegal_1993_00004,14.867200000000008,-15.876399999999991
senegal,1992,1993,14.703685521055801,-17.288594075903085,SEN.1,SEN.1.4,10,0,33.0118209,senegal_1993_00005,14.7167,-17.2833
senegal,1992,1993,14.800000000000004,-15.550000000000004,SEN.2,SEN.2.3,15,1,17.00327653333333,senegal_1993_00006,14.800000000000004,-15.550000000000004
senegal,1992,1993,14.761116502172483,-17.41281919547149,SEN.1,SEN.1.3,18,0,41.07834472222222,senegal_1993_00007,14.75,-17.4
senegal,1992,1993,14.881569966640226,-15.87444819765284,SEN.2,SEN.2.3,16,1,19.3550994375,senegal_1993_00008,14.8672,-15.876399999999997
senegal,1992,1993,14.669682497585955,-17.440821439360175,SEN.1,SEN.1.1,3,0,65.84688466666667,senegal_1993_00009,14.6667,-17.4333
senegal,1992,1993,14.672122722883548,-17.434692859140767,SEN.1,SEN.1.1,19,0,63.79674605263158,senegal_1993_00010,14.666699999999995,-17.433299999999996
senegal,1992,1993,12.7333,-16.333300000000005,SEN.14,SEN.14.1,6,1,22.826212833333333,senegal_1993_00011,12.7333,-16.333300000000005
senegal,1992,1993,13.619176283115506,-16.387142411015756,SEN.3,SEN.3.2,7,1,24.97123671428572,senegal_1993_00012,13.6528,-16.3583
senegal,1992,1993,15.272664682075987,-16.5,SEN.13,SEN.13.3,16,1,30.3802793125,senegal_1993_00013,15.266700000000007,-16.5
senegal,1992,1993,12.4667,-16.5667,SEN.14,SEN.14.2,9,1,20.22320011111111,senegal_1993_00014,12.4667,-16.5667
senegal,1992,1993,14.765454649361743,-17.39331172410183,SEN.1,SEN.1.3,15,0,31.2047182,senegal_1993_00015,14.75,-17.400000000000002
senegal,1992,1993,14.618055686533681,-16.262958392951756,SEN.2,SEN.2.2,1,1,9.428924,senegal_1993_00016,14.6167,-16.3
senegal,1992,1993,14.745661852810738,-17.40613091957332,SEN.1,SEN.1.3,20,0,22.48376625,senegal_1993_00017,14.75,-17.4
senegal,1992,1993,14.663717502414046,-17.44667144775142,SEN.1,SEN.1.1,9,0,43.80652255555555,senegal_1993_00018,14.6667,-17.4333
senegal,1992,1993,14.550000000000002,-16.6167,SEN.13,SEN.13.1,3,1,9.428924,senegal_1993_00019,14.550000000000002,-16.6167
senegal,1992,1993,14.861777371079167,-15.882813064854938,SEN.2,SEN.2.3,25,1,35.577759920000005,senegal_1993_00020,14.867200000000008,-15.876399999999997
senegal,1992,1993,15.233299999999996,-16.083300000000005,SEN.8,SEN.8.1,10,1,6.874951900000001,senegal_1993_00021,15.233299999999996,-16.083300000000005
senegal,1992,1993,12.58574063333259,-16.27001352488766,SEN.14,SEN.14.3,6,0,29.12773933333333,senegal_1993_00022,12.5833,-16.2667
senegal,1992,1993,14.798915467891437,-15.911961380720607,SEN.2,SEN.2.3,10,0,31.9515835,senegal_1993_00023,14.8,-15.9167
senegal,1992,1993,14.718548432877855,-17.152807471369655,SEN.1,SEN.1.4,8,1,22.176792125,senegal_1993_00024,14.75,-17.133299999999995
senegal,1992,1993,14.661819549404802,-17.424664273327206,SEN.1,SEN.1.1,9,0,60.02405733333333,senegal_1993_00025,14.6667,-17.4333
senegal,1992,1993,12.9333,-14.083299999999998,SEN.7,SEN.7.3,10,1,19.2795085,senegal_1993_00026,12.9333,-14.083299999999998
senegal,1992,1993,15.733299999999993,-16.016700000000007,SEN.8,SEN.8.3,16,1,21.80624225,senegal_1993_00027,15.733299999999993,-16.016700000000007
senegal,1992,1993,14.655854554232892,-16.24164284515536,SEN.2,SEN.2.2,10,0,34.0450427,senegal_1993_00028,14.6667,-16.25
senegal,1992,1993,13.889536540655106,-16.361980725329794,SEN.3,SEN.3.2,6,0,31.72874733333333,senegal_1993_00029,13.8833,-16.366700000000005
senegal,1992,1993,14.674562948181148,-17.446950019579575,SEN.1,SEN.1.1,15,0,49.04698193333332,senegal_1993_00030,14.666699999999995,-17.4333
senegal,1992,1993,15.341595283226441,-15.455353603484344,SEN.8,SEN.8.2,1,1,9.428924,senegal_1993_00031,15.35,-15.4833
senegal,1992,1993,12.552598545527795,-16.21035870443154,SEN.14,SEN.14.3,4,1,13.2867635,senegal_1993_00032,12.5667,-16.1833
senegal,1992,1993,13.972453931216279,-16.233928494642157,SEN.3,SEN.3.2,1,1,29.175457,senegal_1993_00033,13.9833,-16.2667
senegal,1992,1993,14.676732037334576,-17.44527858861065,SEN.1,SEN.1.1,10,0,34.1302255,senegal_1993_00034,14.6667,-17.4333
senegal,1992,1993,13.133300000000002,-13.75,SEN.7,SEN.7.3,9,1,21.819018,senegal_1993_00035,13.133300000000002,-13.75
senegal,1992,1993,14.944577410220806,-16.806100424116103,SEN.13,SEN.13.3,9,0,44.32012688888889,senegal_1993_00036,14.95,-16.8167
senegal,1992,1993,14.67266499517191,-17.42549998881167,SEN.1,SEN.1.1,12,0,34.99909641666667,senegal_1993_00037,14.6667,-17.4333
senegal,1992,1993,14.743763913415437,-17.393590402264255,SEN.1,SEN.1.3,11,0,27.33353190909091,senegal_1993_00038,14.75,-17.400000000000002
senegal,1992,1993,14.1333,-16.666699999999995,SEN.3,SEN.3.1,6,1,17.604621499999997,senegal_1993_00039,14.1333,-16.666699999999995
senegal,1992,1993,12.85,-15.2333,SEN.11,SEN.11.3,5,1,28.8862698,senegal_1993_00040,12.85,-15.2333
senegal,1992,1993,14.43,-16.61,SEN.3,SEN.3.1,1,1,15.267538,senegal_1993_00041,14.43,-16.61
senegal,1992,1993,12.534271435082482,-12.18495654781215,SEN.6,SEN.6.1,5,0,32.002896,senegal_1993_00042,12.55,-12.1833
senegal,1992,1993,13.05,-15.7,SEN.11,SEN.11.1,11,1,14.03646318181818,senegal_1993_00043,13.05,-15.7
senegal,1992,1993,14.654498873512004,-17.420485695904887,SEN.1,SEN.1.1,10,0,55.2711083,senegal_1993_00044,14.6667,-17.4333
senegal,1992,1993,14.804880394488542,-16.92270779219899,SEN.13,SEN.13.2,25,0,49.199302880000005,senegal_1993_00045,14.800000000000006,-16.93329999999999
senegal,1992,1993,12.672078807029196,-15.537413573368324,SEN.11,SEN.11.2,8,1,19.660760375,senegal_1993_00046,12.633300000000002,-15.5167
senegal,1992,1993,14.666428863855822,-17.433021428171845,SEN.1,SEN.1.1,12,0,26.47692658333333,senegal_1993_00047,14.6667,-17.4333
senegal,1992,1993,12.4667,-16.7833,SEN.14,SEN.14.2,7,1,9.607248142857143,senegal_1993_00048,12.4667,-16.7833
senegal,1992,1993,14.804066995407114,-15.913912576894477,SEN.2,SEN.2.3,8,0,11.177499875,senegal_1993_00049,14.8,-15.916700000000002
senegal,1992,1993,12.5833,-16.266700000000004,SEN.14,SEN.14.3,12,0,26.98535825,senegal_1993_00050,12.5833,-16.266700000000004
senegal,1992,1993,14.266700000000004,-15.949999999999998,SEN.5,SEN.5.1,12,0,44.45629758333334,senegal_1993_00051,14.266700000000004,-15.949999999999998
senegal,1992,1993,15.416699999999995,-16.0667,SEN.8,SEN.8.3,14,1,14.758799142857145,senegal_1993_00052,15.416699999999995,-16.0667
senegal,1992,1993,14.7167,-17.2833,SEN.1,SEN.1.4,12,0,53.54793599999999,senegal_1993_00053,14.7167,-17.2833
senegal,1992,1993,14.75,-17.400000000000002,SEN.1,SEN.1.3,13,0,34.31038553846154,senegal_1993_00054,14.75,-17.400000000000002
senegal,1992,1993,13.1667,-15.0333,SEN.7,SEN.7.2,2,1,15.522955,senegal_1993_00055,13.1667,-15.0333
senegal,1992,1993,14.4167,-16.7,SEN.13,SEN.13.1,1,1,22.826009,senegal_1993_00056,14.4167,-16.7
senegal,1992,1993,14.75,-17.400000000000002,SEN.1,SEN.1.3,15,0,36.47362239999999,senegal_1993_00057,14.75,-17.400000000000002
senegal,1992,1993,12.5833,-16.2667,SEN.14,SEN.14.3,1,0,27.961358,senegal_1993_00058,12.5833,-16.2667
senegal,1992,1993,14.8167,-16.6667,SEN.13,SEN.13.2,1,1,15.267538,senegal_1993_00059,14.8167,-16.6667
senegal,1992,1993,14.8,-16.9333,SEN.13,SEN.13.2,1,0,16.987395,senegal_1993_00060,14.8,-16.9333
senegal,1992,1993,14.400000000000004,-16.9667,SEN.13,SEN.13.1,12,0,29.914228500000004,senegal_1993_00061,14.400000000000004,-16.9667
senegal,1992,1993,12.9333,-16.7167,SEN.14,SEN.14.1,1,1,19.76505,senegal_1993_00062,12.9333,-16.7167
senegal,1992,1993,14.666699999999995,-17.4333,SEN.1,SEN.1.1,15,0,33.05111326666666,senegal_1993_00063,14.666699999999995,-17.4333
senegal,1992,1993,12.883300000000002,-14.95,SEN.7,SEN.7.1,7,0,25.19157471428571,senegal_1993_00064,12.883300000000002,-14.95
senegal,1992,1993,14.800000000000002,-16.9333,SEN.13,SEN.13.2,12,0,25.48972958333333,senegal_1993_00065,14.800000000000002,-16.9333
senegal,1992,1993,12.816700000000004,-14.8667,SEN.7,SEN.7.1,3,1,16.168007333333332,senegal_1993_00066,12.816700000000004,-14.8667
senegal,1992,1993,14.6667,-17.4333,SEN.1,SEN.1.1,12,0,26.41216916666666,senegal_1993_00067,14.6667,-17.4333
senegal,1992,1993,14.75,-17.400000000000002,SEN.1,SEN.1.3,12,0,33.23112875,senegal_1993_00068,14.75,-17.400000000000002
senegal,1992,1993,14.6,-16.8667,SEN.13,SEN.13.2,2,1,6.9547745,senegal_1993_00069,14.6,-16.8667
senegal,1992,1993,13.05,-16.599999999999998,SEN.14,SEN.14.1,6,1,19.901768166666667,senegal_1993_00070,13.05,-16.599999999999998
senegal,1992,1993,14.400000000000004,-16.9667,SEN.13,SEN.13.1,11,0,39.670432727272726,senegal_1993_00071,14.400000000000004,-16.9667
senegal,1992,1993,14.1333,-16.6667,SEN.3,SEN.3.1,2,1,26.4934885,senegal_1993_00072,14.1333,-16.6667
senegal,1992,1993,15.616700000000003,-16.2167,SEN.8,SEN.8.3,14,0,14.423345285714282,senegal_1993_00073,15.616700000000003,-16.2167
senegal,1992,1993,14.1667,-16.849999999999998,SEN.13,SEN.13.1,13,0,15.411137153846152,senegal_1993_00074,14.1667,-16.849999999999998
senegal,1992,1993,14.666699999999995,-17.4333,SEN.1,SEN.1.1,15,0,38.78761346666667,senegal_1993_00075,14.666699999999995,-17.4333
senegal,1992,1993,14.3333,-16.4167,SEN.3,SEN.3.1,4,0,30.789504500000003,senegal_1993_00076,14.3333,-16.4167
senegal,1992,1993,14.6667,-17.4333,SEN.1,SEN.1.1,10,0,71.8797453,senegal_1993_00077,14.6667,-17.4333
senegal,1992,1993,14.2833,-16.75,SEN.13,SEN.13.1,1,1,11.149144,senegal_1993_00078,14.2833,-16.75
senegal,1992,1993,14.6667,-17.4333,SEN.1,SEN.1.1,9,0,70.41507022222223,senegal_1993_00079,14.6667,-17.4333
senegal,1992,1993,14.666699999999995,-17.4333,SEN.1,SEN.1.1,14,0,63.14161692857142,senegal_1993_00080,14.666699999999995,-17.4333
senegal,1992,1993,14.7167,-17.2833,SEN.1,SEN.1.4,9,0,42.24407688888888,senegal_1993_00081,14.7167,-17.2833
senegal,1992,1993,12.583299999999998,-16.2667,SEN.14,SEN.14.3,7,0,35.97172471428571,senegal_1993_00082,12.583299999999998,-16.2667
senegal,1992,1993,14.7167,-17.2833,SEN.1,SEN.1.4,13,0,33.958251692307684,senegal_1993_00083,14.7167,-17.2833
senegal,1992,1993,14.718099999999994,-16.734199999999994,SEN.13,SEN.13.2,14,1,13.195373999999996,senegal_1993_00084,14.718099999999994,-16.734199999999994
senegal,1992,1993,14.4167,-16.7,SEN.13,SEN.13.1,1,1,4.004454,senegal_1993_00085,14.4167,-16.7
senegal,1992,1993,12.9833,-16.2,SEN.14,SEN.14.1,3,1,31.462528,senegal_1993_00086,12.9833,-16.2
senegal,1992,1993,14.8,-15.55,SEN.2,SEN.2.3,1,1,9.428924,senegal_1993_00087,14.8,-15.55
senegal,1992,1993,14.666699999999995,-17.433299999999996,SEN.1,SEN.1.1,20,0,47.75974985,senegal_1993_00088,14.666699999999995,-17.433299999999996
senegal,1992,1993,12.8333,-15.94,SEN.11,SEN.11.3,2,1,17.2429935,senegal_1993_00089,12.8333,-15.94
senegal,1992,1993,15.6833,-16.116700000000005,SEN.8,SEN.8.3,13,1,29.18257969230769,senegal_1993_00090,15.6833,-16.116700000000005
senegal,1992,1993,15.0667,-16.633299999999995,SEN.13,SEN.13.3,7,1,41.586663571428566,senegal_1993_00091,15.0667,-16.633299999999995
senegal,1992,1993,15.2833,-16.1833,SEN.8,SEN.8.1,13,1,14.54057992307692,senegal_1993_00092,15.2833,-16.1833
senegal,1992,1993,14.75,-17.4,SEN.1,SEN.1.3,18,0,33.98216988888889,senegal_1993_00093,14.75,-17.4
senegal,1992,1993,12.8,-13.8333,SEN.7,SEN.7.3,1,1,9.935045,senegal_1993_00094,12.8,-13.8333
senegal,1992,1993,14.6667,-17.4333,SEN.1,SEN.1.1,4,0,32.59128,senegal_1993_00095,14.6667,-17.4333
senegal,1992,1993,14.6667,-17.4333,SEN.1,SEN.1.1,13,0,40.22072069230769,senegal_1993_00096,14.6667,-17.4333
senegal,1992,1993,12.583299999999998,-16.2667,SEN.14,SEN.14.3,7,0,22.780686142857142,senegal_1993_00097,12.583299999999998,-16.2667
senegal,1992,1993,14.5333,-16.4333,SEN.3,SEN.3.1,8,1,15.84913575,senegal_1993_00098,14.5333,-16.4333
senegal,1992,1993,14.75,-17.400000000000002,SEN.1,SEN.1.3,10,0,38.17596329999999,senegal_1993_00099,14.75,-17.400000000000002
senegal,1992,1993,14.867200000000004,-15.876399999999997,SEN.2,SEN.2.3,22,1,14.088351863636364,senegal_1993_00100,14.867200000000004,-15.876399999999997
senegal,1992,1993,12.8667,-14.3333,SEN.7,SEN.7.1,4,1,13.7977645,senegal_1993_00101,12.8667,-14.3333
senegal,1992,1993,14.75,-17.400000000000002,SEN.1,SEN.1.3,15,0,41.26062713333333,senegal_1993_00102,14.75,-17.400000000000002
senegal,1992,1993,14.6667,-17.4333,SEN.1,SEN.1.1,13,0,62.2630753076923,senegal_1993_00103,14.6667,-17.4333
senegal,1992,1993,15.616700000000003,-16.2167,SEN.8,SEN.8.3,14,0,34.94162792857143,senegal_1993_00104,15.616700000000003,-16.2167
senegal,1992,1993,14.666699999999995,-17.4333,SEN.1,SEN.1.1,15,0,56.78584153333334,senegal_1993_00105,14.666699999999995,-17.4333
senegal,1992,1993,14.75,-17.400000000000002,SEN.1,SEN.1.3,13,0,26.48872076923077,senegal_1993_00106,14.75,-17.400000000000002
senegal,1992,1993,14.75,-17.400000000000002,SEN.1,SEN.1.3,14,0,29.876880714285715,senegal_1993_00107,14.75,-17.400000000000002
senegal,1992,1993,14.75,-17.400000000000002,SEN.1,SEN.1.3,12,0,37.13151741666667,senegal_1993_00108,14.75,-17.400000000000002
senegal,1992,1993,14.166700000000002,-16.849999999999998,SEN.13,SEN.13.1,8,0,27.614892875,senegal_1993_00109,14.166700000000002,-16.849999999999998
senegal,1992,1993,14.75,-17.400000000000002,SEN.1,SEN.1.3,17,0,63.264869235294114,senegal_1993_00110,14.75,-17.400000000000002
senegal,1992,1993,14.666699999999995,-17.4333,SEN.1,SEN.1.1,14,0,66.51834135714286,senegal_1993_00111,14.666699999999995,-17.4333
senegal,1992,1993,14.75,-17.400000000000002,SEN.1,SEN.1.3,6,0,21.3501635,senegal_1993_00112,14.75,-17.400000000000002
senegal,1992,1993,12.7333,-16.333300000000005,SEN.14,SEN.14.1,6,1,21.145604833333334,senegal_1993_00113,12.7333,-16.333300000000005
senegal,1992,1993,15.150000000000004,-16.900000000000002,SEN.13,SEN.13.3,13,1,21.62383184615385,senegal_1993_00114,15.150000000000004,-16.900000000000002
senegal,1992,1993,14.45,-16.4833,SEN.3,SEN.3.1,1,1,9.428924,senegal_1993_00115,14.45,-16.4833
senegal,1992,1993,14.75,-17.400000000000002,SEN.1,SEN.1.3,13,0,37.28522830769231,senegal_1993_00116,14.75,-17.400000000000002
senegal,1992,1993,14.666700000000002,-17.4333,SEN.1,SEN.1.1,7,0,54.727774,senegal_1993_00117,14.666700000000002,-17.4333
senegal,1992,1993,14.666699999999995,-17.4333,SEN.1,SEN.1.1,16,0,33.8865585,senegal_1993_00118,14.666699999999995,-17.4333
senegal,1992,1993,14.5667,-15.95,SEN.2,SEN.2.3,1,1,5.31053,senegal_1993_00119,14.5667,-15.95
senegal,1992,1993,15.0667,-16.35,SEN.13,SEN.13.3,5,1,24.9646946,senegal_1993_00120,15.0667,-16.35
senegal,1992,1993,14.75,-17.400000000000002,SEN.1,SEN.1.3,10,0,42.0724957,senegal_1993_00121,14.75,-17.400000000000002
senegal,1992,1993,12.8167,-16.2333,SEN.14,SEN.14.1,5,0,34.1602884,senegal_1993_00122,12.8167,-16.2333
senegal,1992,1993,14.7667,-16.6,SEN.13,SEN.13.2,1,1,9.428924,senegal_1993_00123,14.7667,-16.6
senegal,1992,1993,14.6667,-16.25,SEN.2,SEN.2.2,2,0,11.0073105,senegal_1993_00124,14.6667,-16.25
senegal,1992,1993,14.666699999999995,-17.4333,SEN.1,SEN.1.1,17,0,40.62486211764706,senegal_1993_00125,14.666699999999995,-17.4333
senegal,1992,1993,15.3667,-16.449999999999996,SEN.8,SEN.8.1,10,0,49.5310239,senegal_1993_00126,15.3667,-16.449999999999996
senegal,1992,1993,14.8,-16.9333,SEN.13,SEN.13.2,8,0,34.028150375,senegal_1993_00127,14.8,-16.9333
senegal,1992,1993,12.7333,-15.55,SEN.11,SEN.11.3,6,0,17.38992216666667,senegal_1993_00128,12.7333,-15.55
senegal,1992,1993,14.6667,-17.4333,SEN.1,SEN.1.1,13,0,45.30978553846153,senegal_1993_00129,14.6667,-17.4333
senegal,1992,1993,14.800000000000006,-16.933299999999996,SEN.13,SEN.13.2,19,0,45.47118526315789,senegal_1993_00130,14.800000000000006,-16.933299999999996
senegal,1992,1993,14.6667,-17.4333,SEN.1,SEN.1.1,11,0,63.623308090909084,senegal_1993_00131,14.6667,-17.4333
senegal,1992,1993,13.150000000000002,-14.116600000000002,SEN.7,SEN.7.3,9,0,37.69618877777778,senegal_1993_00132,13.150000000000002,-14.116600000000002
senegal,1992,1993,14.666699999999995,-17.4333,SEN.1,SEN.1.1,14,0,22.74002228571428,senegal_1993_00133,14.666699999999995,-17.4333
senegal,1992,1993,14.666700000000002,-17.4333,SEN.1,SEN.1.1,7,0,45.74638985714286,senegal_1993_00134,14.666700000000002,-17.4333
senegal,1992,1993,15.0667,-16.633299999999995,SEN.13,SEN.13.3,7,1,16.924108428571426,senegal_1993_00135,15.0667,-16.633299999999995
senegal,1992,1993,14.666699999999995,-17.4333,SEN.1,SEN.1.1,15,0,46.27486866666666,senegal_1993_00136,14.666699999999995,-17.4333
senegal,1992,1993,14.8167,-15.3,SEN.8,SEN.8.2,4,1,7.8984445,senegal_1993_00137,14.8167,-15.3
senegal,1992,1993,14.6667,-17.4333,SEN.1,SEN.1.1,10,0,60.528722,senegal_1993_00138,14.6667,-17.4333
senegal,1992,1993,14.933299999999996,-16.9833,SEN.13,SEN.13.3,3,1,14.646146000000002,senegal_1993_00139,14.933299999999996,-16.9833
senegal,1992,1993,14.6667,-17.4333,SEN.1,SEN.1.1,9,0,34.915875,senegal_1993_00140,14.6667,-17.4333
senegal,1992,1993,14.75,-17.399999999999995,SEN.1,SEN.1.3,22,0,32.142527636363624,senegal_1993_00141,14.75,-17.399999999999995
senegal,1992,1993,14.75,-17.4,SEN.1,SEN.1.3,3,0,30.220554333333336,senegal_1993_00142,14.75,-17.4
senegal,1992,1993,15.616700000000002,-16.2167,SEN.8,SEN.8.3,12,0,24.16182,senegal_1993_00143,15.616700000000002,-16.2167
